
Old Testament 1		      Old Testament 2		       New Testamemt
Lev. 23:1-22            Psalms 132, 133          Mark 9:33-50
Lev. 23:23-44           Psalms 134, 135          Mark 10:1-31
Lev. 24                 Psalms 136, 137          Mark 10:32-52
Lev. 25                 Psalms 138, 139          Mark 11:1-26
Lev. 26                 Psalms 140, 141          Mark 11:27 to 12:17
Lev. 27                 Psalms 142, 143          Mark 12:18-44
Num. 1                  Psalms 144, 145          Mark 13
Num. 2                  Psalms 146, 147          Mark 14:1-26
Num. 3                  Psalms 148 to 150        Mark 14:27-52
Num. 4                  Prov. 1                  Mark 14:53-72
Num. 5                  Prov. 2                  Mark 15:1-23
Num. 6                  Prov. 3                  Mark 15:24-47
Num. 7                  Prov. 4                  Mark 16
Num. 8                  Prov. 5:1 to 6:19        1 Pet. 1:1- 12
Num. 9:1 to 10:10       Prov. 6:20 to 7:27       1 Pet. 1:13 to 2:10
Num. 10:11 to 11:3      Prov. 8                  1 Pet. 2:11 to 3:7

May
Num. 11:4-35            Prov. 9                  1 Pet. 3:8-22
Num. 12, 13             Prov. 10                 1 Pet. 4
Num. 14                 Prov. 11                 1 Pet. 5
Num. 15                 Prov. 12                 2 Pet. 1
Num. 16:1-40            Prov. 13                 2 Pet. 2
Num. 16:41 to 17:13     Prov. 14                 2 Pet. 3
Num. 18                 Prov. 15                 James 1
Num. 19                 Prov. 16                 James 2
Num. 20                 Prov. 17                 James 3
Num. 21                 Prov. 18                 James 4
Num. 22:1-38            Prov. 19                 James 5
Num. 22:39 to 23:26     Prov. 20:1 to 21:11      Jude
Num. 23:27 to 24:25     Prov. 21:12 to 22:16     Luke 1:1-25
Num.25:1 to 26:51       Prov. 22:17 to 23:11     Luke 1:26-56
Num. 26:52 to 27:23     Prov. 23:12-35           Luke 1:57-80
Num. 28                 Prov. 24                 Luke 2:1-21
Num. 29                 Prov. 25:1 to 26:12      Luke 2:22-52
Num. 30, 31             Prov. 26:13 to 27:27     Luke 3
Num. 32                 Prov. 28                 Luke 4:1-15
Num. 33                 Prov. 29                 Luke 4:16-44
Num. 34:1 to 35:8       Prov. 30                 Luke 5:1-16
Num. 35:9 to 36:13      Prov. 31                 Luke 5:17-39
Deut. 1                 Eccl. 1:1 to 2:10        Luke 6:1-19
Deut. 2                 Eccl. 2:11 to 3:15       Luke 6:20-49
Deut. 3                 Eccl. 3:16 to 4:16       Luke 7:1-29
Deut. 4                 Eccl. 5, 6               Luke 7:30-50
Deut. 5                 Eccl. 7                  Luke 8:1-21
Deut. 6:1 to 7:10       Eccl. 8:1 to 9:10        Luke 8:22-39
Deut. 7:11 to 8:20      Eccl. 9:11 to 10:20      Luke 8:40-56
Deut. 9:1 to 10:11      Eccl. 11, 12             Luke 9:1-17
Deut. 10:12 to 11:32    Song 1:1 to 2:7          Luke 9:18-36

June
Deut. 12                Song 2:8 to 3:5          Luke 9:37-62
Deut. 13:1 to 14:21     Song 3:6 to 5:1          Luke 10:1-24
Deut. 14:22 to 15:23    Song 5:2 to 6:9          Luke 10:25-42
Deut. 16                Song 6:10 to 8:14        Luke 11:1-13
Deut. 17:1 to 18:8      Obadiah                  Luke 11:14-36
Deut. 18:9 to 19:21     Joel 1                   Luke 11:37-54
Deut. 20, 21            Joel 2                   Luke 12:1-21
Deut. 22:1 to 23:8      Joel 3                   Luke 12:22-40
